id,keem_line,husband_line,kemler_line,kaplan_line
429,f,f,f,t
119,f,f,t,f
871,f,f,f,t
121,f,f,t,f
85,t,t,t,t
81,t,t,f,f
430,f,f,f,t
169,f,f,t,f
866,f,f,t,f
867,f,f,t,f
872,f,f,f,t
868,f,f,t,f
771,t,f,f,f
133,f,f,t,f
894,f,f,f,f
718,f,f,f,t
14,f,f,t,f
935,f,f,f,f
21,f,f,t,f
69,t,f,f,f
230,t,f,f,f
231,t,f,f,f
901,f,f,t,f
902,f,f,t,f
896,f,f,f,f
897,f,f,f,t
904,t,f,f,f
899,f,f,f,t
903,f,f,f,f
912,f,f,t,f
869,f,f,f,f
689,f,f,f,t
654,f,f,f,t
343,f,f,f,t
19,f,f,f,f
20,f,f,f,f
898,f,f,f,t
104,t,t,f,f
942,t,f,f,f
873,f,f,f,t
184,f,t,f,f
31,f,f,f,t
33,f,f,f,t
914,f,f,f,f
35,f,f,f,t
36,f,f,t,t
37,f,f,t,t
38,f,f,t,t
39,f,f,t,t
40,f,f,t,t
770,t,f,f,f
108,f,f,t,f
43,t,f,f,f
44,t,f,f,f
45,t,f,f,f
111,f,f,t,f
134,t,f,f,f
201,f,t,f,f
110,f,f,t,f
75,f,t,f,f
112,f,f,t,f
16,f,f,t,f
913,f,f,t,f
46,t,f,f,f
205,f,f,f,f
859,t,t,t,t
910,t,f,f,f
68,t,f,f,f
48,t,f,f,f
49,t,f,f,f
781,t,f,f,f
163,f,f,f,t
520,t,f,f,f
540,t,f,f,f
719,f,f,f,t
541,t,f,f,f
542,t,f,f,f
584,t,f,f,f
607,f,f,f,t
60,t,f,f,f
530,t,f,f,f
543,t,f,f,f
594,t,f,f,f
609,t,f,f,f
162,f,f,f,t
120,f,f,t,f
161,f,f,f,t
165,f,f,t,f
616,f,f,f,f
640,f,f,f,f
641,f,f,f,f
679,f,f,f,t
34,f,f,f,f
765,f,t,f,f
642,f,f,f,f
650,f,f,f,t
311,f,f,f,t
2,f,f,t,f
11,f,f,f,f
128,f,f,t,f
440,f,f,f,f
643,f,f,f,f
70,t,f,f,f
71,t,f,f,f
326,f,f,f,t
622,f,f,f,f
355,f,f,f,t
117,f,f,t,f
207,f,f,f,f
168,f,f,t,f
106,f,f,t,f
76,f,t,f,f
79,t,t,f,f
80,t,t,f,f
82,t,t,f,f
400,f,t,f,f
84,t,t,f,f
87,f,f,f,t
88,f,f,f,t
90,f,f,f,t
91,f,f,f,t
92,f,f,f,t
89,f,f,f,t
94,f,f,f,t
96,f,f,f,t
97,f,f,f,t
98,f,f,f,t
895,f,f,f,t
95,f,f,f,f
664,f,f,f,t
665,f,f,f,t
905,f,f,f,f
611,t,f,f,f
587,t,f,f,f
915,f,f,t,f
621,f,f,f,f
113,f,f,t,f
114,f,f,t,f
116,f,f,t,f
167,f,f,t,f
860,t,t,t,t
450,f,f,f,f
936,f,f,f,t
947,f,f,t,f
877,f,f,f,t
691,f,f,f,t
99,f,f,f,t
100,f,f,f,t
103,t,t,f,f
105,f,f,t,f
170,f,f,t,f
631,f,t,f,f
632,f,t,f,f
633,f,t,f,f
175,f,f,f,t
635,f,t,f,f
778,t,f,f,f
784,t,f,f,f
179,f,f,f,f
351,f,f,f,t
829,t,f,f,f
185,f,f,f,t
475,f,f,f,t
830,t,f,f,f
753,t,f,f,f
754,t,f,f,f
777,t,f,f,f
782,t,f,f,f
764,f,t,f,f
906,t,f,f,f
908,t,f,f,f
188,f,f,f,t
189,f,f,f,t
191,f,f,t,f
166,f,f,t,f
861,f,f,f,f
670,f,f,f,t
365,f,f,f,t
946,f,f,f,f
452,f,f,f,f
891,f,f,f,t
892,f,f,f,t
204,f,f,f,f
812,t,f,f,f
813,t,f,f,f
196,f,f,f,t
501,f,f,f,t
195,f,f,f,t
236,t,f,f,f
220,f,f,f,f
907,t,f,f,f
226,f,f,f,f
909,t,f,f,f
234,t,f,f,f
235,t,f,f,f
219,f,f,f,f
203,f,f,f,f
783,t,f,f,f
527,t,f,f,f
529,t,f,f,f
556,f,f,f,t
882,f,f,f,t
217,t,f,f,f
797,f,f,f,t
186,f,f,f,t
61,t,f,f,f
937,f,f,t,f
312,f,f,f,t
83,t,t,f,f
29,f,f,f,t
940,f,f,f,t
468,f,f,f,t
341,f,f,f,t
863,f,f,f,f
864,f,f,t,f
296,f,f,f,f
862,f,f,t,f
890,f,f,f,f
206,f,f,f,f
208,f,f,f,f
209,f,f,f,f
210,f,f,f,f
211,f,f,f,f
212,f,f,f,f
213,f,f,f,f
214,f,f,f,f
215,f,f,f,f
874,f,f,f,t
77,f,f,f,f
911,t,f,f,f
282,t,f,f,f
288,f,f,f,f
187,f,f,f,t
291,f,f,f,f
289,f,f,f,t
875,f,f,f,t
876,f,f,f,t
309,f,f,f,t
313,f,f,f,t
314,f,f,f,t
315,f,f,f,t
316,f,f,f,t
317,f,f,f,t
318,f,f,f,t
320,f,f,f,t
321,f,f,f,t
322,f,f,f,t
323,f,f,f,t
325,f,f,f,t
346,f,f,f,t
193,f,f,f,f
74,f,t,f,f
6,f,f,t,f
329,f,f,f,t
8,f,f,t,f
698,f,f,f,t
344,f,f,f,t
12,f,f,t,f
63,t,f,f,f
64,t,f,f,f
65,t,f,f,f
66,t,f,f,f
67,t,f,f,f
330,f,f,f,t
331,f,f,f,t
332,f,f,f,t
333,f,f,f,t
334,f,f,f,t
335,f,f,f,t
336,f,f,f,t
337,f,f,f,t
338,f,f,f,t
339,f,f,f,t
340,f,f,f,t
27,f,f,t,f
342,f,f,f,t
345,f,f,f,t
328,f,f,f,t
348,f,f,f,t
350,f,f,f,t
366,f,f,f,t
352,f,f,f,t
362,f,f,f,t
363,f,f,f,t
878,f,f,f,t
879,f,f,f,t
359,f,f,f,t
360,f,f,f,t
354,f,f,f,t
361,f,f,f,t
941,t,f,f,f
570,f,f,f,t
563,f,f,f,t
562,f,f,f,t
420,f,f,t,f
422,f,f,t,f
409,f,f,f,f
408,f,f,f,t
428,f,f,f,t
431,f,f,f,f
432,f,f,f,f
434,f,f,f,f
435,f,f,f,f
433,f,f,f,f
437,f,f,f,f
438,f,f,f,f
439,f,f,f,f
442,f,f,f,f
571,f,f,f,t
443,f,f,f,f
444,f,f,f,f
445,f,f,f,f
446,f,f,f,f
449,f,f,f,t
476,f,f,f,f
451,f,f,f,t
466,f,f,f,t
115,f,f,t,f
24,f,f,t,f
26,f,f,t,f
402,f,t,f,f
461,f,f,f,t
677,f,f,f,t
